Comment,Designator,Footprint,LCSC
BAT760-7,D1,D_SOD-323F,C124187
LESD8D12T5G,D3,SOD882,C172408
LESD8D3.3CAT5G,D2,SOD882,C172409
Conn_01x03_Male,J2,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,C514175
