Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,BAT760-7,D_SOD-323F,191.516,-93.726,180.0,top
D2,LESD8D3.3CAT5G,SOD882,186.436,-103.505,-90.0,top
D3,LESD8D12T5G,SOD882,186.436,-99.295,-90.0,top
J2,Conn_01x03_Male,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,197.993,-94.996,90.0,top
